epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.503,1.36134,1.00206,0.00243,0.92143,0.86653,0.93057,0.68462,1.10364,0.62112,0.00265,0.000664,0.000664,0.000664
2,257.524,1.15761,0.58698,0.00197,0.92896,0.86985,0.93829,0.71068,1.05969,0.53797,0.00253,0.00130432,0.00130432,0.00130432
3,382.909,1.13567,0.53593,0.00188,0.93482,0.87714,0.94236,0.71555,1.01178,0.54843,0.00248,0.00191824,0.00191824,0.00191824
4,508.017,1.09483,0.48713,0.00188,0.93009,0.89306,0.9446,0.71659,1.03866,0.54985,0.00261,0.0018812,0.0018812,0.0018812
5,634.439,1.07703,0.47608,0.00182,0.9258,0.88586,0.94098,0.71546,1.02202,0.52999,0.00258,0.0018416,0.0018416,0.0018416
6,750.829,1.01899,0.4572,0.00173,0.93348,0.90755,0.94961,0.74952,0.94451,0.44864,0.00227,0.001802,0.001802,0.001802
7,868.666,1.02743,0.4595,0.00172,0.95148,0.89268,0.95094,0.73097,1.00189,0.44297,0.00242,0.0017624,0.0017624,0.0017624
8,988.751,1.00213,0.42859,0.00166,0.94103,0.9049,0.9504,0.74916,0.94989,0.45129,0.00231,0.0017228,0.0017228,0.0017228
9,1110.54,0.98471,0.4179,0.00162,0.93553,0.91285,0.95356,0.75548,0.93551,0.4384,0.00224,0.0016832,0.0016832,0.0016832
10,1241.11,0.99094,0.40802,0.00159,0.92828,0.91581,0.94755,0.75785,0.9015,0.4217,0.00216,0.0016436,0.0016436,0.0016436
11,1362.96,0.94921,0.39361,0.00152,0.93817,0.91712,0.94933,0.74986,0.92236,0.44376,0.00224,0.001604,0.001604,0.001604
12,1480.93,0.92566,0.38105,0.00152,0.94363,0.90831,0.95017,0.76005,0.93195,0.42257,0.00225,0.0015644,0.0015644,0.0015644
13,1599.29,0.94137,0.38918,0.0015,0.95024,0.91266,0.9526,0.75637,0.90391,0.44665,0.00215,0.0015248,0.0015248,0.0015248
14,1719.41,0.90419,0.37465,0.00149,0.95347,0.9102,0.9541,0.76416,0.87272,0.48078,0.00203,0.0014852,0.0014852,0.0014852
15,1845.07,0.89408,0.36814,0.00147,0.95152,0.91845,0.95442,0.7692,0.84958,0.44211,0.00203,0.0014456,0.0014456,0.0014456
16,1965.98,0.89131,0.36614,0.00141,0.94719,0.9192,0.95435,0.7683,0.88548,0.50346,0.00201,0.001406,0.001406,0.001406
17,2081.86,0.90258,0.37361,0.00144,0.94783,0.91494,0.95247,0.75132,0.88954,0.39539,0.00209,0.0013664,0.0013664,0.0013664
18,2199.3,0.88348,0.36318,0.00143,0.94577,0.91806,0.95445,0.76455,0.85881,0.46294,0.00208,0.0013268,0.0013268,0.0013268
19,2327.22,0.88367,0.35353,0.00141,0.95841,0.91844,0.9533,0.76646,0.83014,0.4835,0.00192,0.0012872,0.0012872,0.0012872
20,2471.4,0.86005,0.34467,0.00137,0.948,0.91816,0.9538,0.76545,0.8962,0.51509,0.00211,0.0012476,0.0012476,0.0012476
21,2576.14,0.85066,0.34063,0.00136,0.94948,0.91856,0.95484,0.7842,0.8215,0.53156,0.00193,0.001208,0.001208,0.001208
22,2673.34,0.85044,0.33977,0.00133,0.94582,0.92441,0.95493,0.78489,0.86032,0.57176,0.00203,0.0011684,0.0011684,0.0011684
23,2771.23,0.85022,0.33614,0.00132,0.95379,0.92273,0.95708,0.7836,0.83889,0.4409,0.00203,0.0011288,0.0011288,0.0011288
24,2868.85,0.83664,0.33536,0.00134,0.95976,0.91951,0.95794,0.78907,0.83298,0.43544,0.00199,0.0010892,0.0010892,0.0010892
25,2969.44,0.83468,0.33315,0.00129,0.95484,0.92394,0.95674,0.78378,0.85514,0.45237,0.00202,0.0010496,0.0010496,0.0010496
26,3067.38,0.83095,0.33413,0.00128,0.96002,0.92649,0.95899,0.78877,0.82512,0.43401,0.00193,0.00101,0.00101,0.00101
27,3166.57,0.81757,0.3275,0.00128,0.95822,0.91683,0.95827,0.78929,0.84587,0.45913,0.00198,0.0009704,0.0009704,0.0009704
28,3264.72,0.81466,0.32571,0.00129,0.95392,0.92361,0.95953,0.78945,0.82039,0.4058,0.00194,0.0009308,0.0009308,0.0009308
29,3362.5,0.79019,0.31689,0.00123,0.95361,0.91322,0.95627,0.78843,0.80926,0.45575,0.00185,0.0008912,0.0008912,0.0008912
30,3460.12,0.78825,0.31424,0.00125,0.95744,0.92261,0.958,0.79879,0.79839,0.45085,0.00185,0.0008516,0.0008516,0.0008516
31,3562.14,0.78993,0.31272,0.00124,0.95442,0.92394,0.95733,0.79579,0.80766,0.40653,0.00186,0.000812,0.000812,0.000812
32,3660.73,0.76825,0.30721,0.00121,0.95045,0.92491,0.95662,0.79079,0.79929,0.43121,0.00184,0.0007724,0.0007724,0.0007724
33,3757.37,0.77978,0.31296,0.00119,0.96002,0.92384,0.95846,0.79324,0.84163,0.45048,0.00194,0.0007328,0.0007328,0.0007328
34,3854.43,0.76607,0.29774,0.00118,0.95619,0.92003,0.95951,0.79105,0.83478,0.4486,0.00191,0.0006932,0.0006932,0.0006932
35,3953.67,0.75812,0.29948,0.00119,0.95749,0.92384,0.95941,0.79579,0.77774,0.41164,0.00182,0.0006536,0.0006536,0.0006536
36,4049.64,0.75464,0.29645,0.00118,0.95945,0.92338,0.96102,0.8016,0.77526,0.37992,0.00177,0.000614,0.000614,0.000614
37,4147.85,0.74612,0.29612,0.00114,0.95926,0.92735,0.96176,0.79953,0.80356,0.35595,0.00182,0.0005744,0.0005744,0.0005744
38,4245.59,0.74669,0.29282,0.00113,0.95671,0.92877,0.95835,0.79468,0.80978,0.38869,0.00181,0.0005348,0.0005348,0.0005348
39,4344.4,0.74141,0.29492,0.00113,0.96154,0.92526,0.95925,0.79958,0.77617,0.39806,0.00178,0.0004952,0.0004952,0.0004952
40,4440.07,0.73909,0.29257,0.00112,0.95929,0.92411,0.95895,0.7987,0.78184,0.43775,0.00177,0.0004556,0.0004556,0.0004556
41,4525.93,0.66906,0.2725,0.00121,0.9569,0.93038,0.96248,0.80177,0.78832,0.36333,0.00178,0.000416,0.000416,0.000416
42,4612.92,0.64493,0.25715,0.00114,0.95718,0.93168,0.96122,0.80137,0.77727,0.37032,0.00178,0.0003764,0.0003764,0.0003764
43,4699.2,0.64206,0.25172,0.00113,0.95874,0.92891,0.96166,0.80555,0.75629,0.37925,0.00173,0.0003368,0.0003368,0.0003368
44,4784.16,0.63602,0.25321,0.00113,0.96475,0.92046,0.96239,0.80619,0.75648,0.3846,0.00172,0.0002972,0.0002972,0.0002972
45,4869.96,0.62954,0.25024,0.00111,0.96388,0.92943,0.96318,0.80264,0.78779,0.35228,0.00181,0.0002576,0.0002576,0.0002576
46,4957.12,0.60892,0.24186,0.0011,0.96154,0.93068,0.96341,0.80693,0.7726,0.36647,0.00176,0.000218,0.000218,0.000218
47,5043.11,0.6111,0.242,0.00109,0.96182,0.92886,0.96218,0.80441,0.7458,0.39048,0.00171,0.0001784,0.0001784,0.0001784
48,5128.48,0.61277,0.24495,0.00108,0.96288,0.93,0.96165,0.80714,0.75599,0.38557,0.00171,0.0001388,0.0001388,0.0001388
49,5214.94,0.60706,0.24317,0.00107,0.96191,0.93123,0.96188,0.80588,0.761,0.37992,0.00171,9.92e-05,9.92e-05,9.92e-05
50,5302.88,0.60625,0.23833,0.00107,0.96479,0.92971,0.96207,0.80787,0.7572,0.37407,0.00171,5.96e-05,5.96e-05,5.96e-05
